[2025-02-16 13:06:00,211: INFO: extract_mongodb: line 56: Unsupported expected type 'int' for column co2_emissions_g_per_km]
[2025-02-16 13:06:00,227: INFO: extract_mongodb: line 56: Unsupported expected type 'float' for column co2_rating]
[2025-02-16 13:06:00,227: INFO: extract_mongodb: line 56: Unsupported expected type 'float' for column smog_rating]
[2025-02-16 13:11:08,966: INFO: extract_mongodb: line 17: Connecting MongoDB server]
[2025-02-16 13:11:09,383: INFO: extract_mongodb: line 22: MongoDB server connected]
[2025-02-16 13:11:09,383: INFO: extract_mongodb: line 23: Loading data from mongodb collection: fuel_consumption_data_1995_2014]
[2025-02-16 13:11:11,031: INFO: extract_mongodb: line 27: Loaded 17853 records from db and converted into pandas DataFrame]
[2025-02-16 13:11:11,031: INFO: extract_mongodb: line 29: Drop unnecessary column '_id']
[2025-02-16 13:11:11,031: INFO: extract_mongodb: line 46: validating dataframe]
[2025-02-16 13:11:11,031: INFO: extract_mongodb: line 54: Errors found]
[2025-02-16 13:11:11,031: INFO: extract_mongodb: line 56: Unsupported expected type 'int' for column model_year]
[2025-02-16 13:11:11,031: INFO: extract_mongodb: line 56: Unsupported expected type 'object' for column make]
[2025-02-16 13:11:11,047: INFO: extract_mongodb: line 56: Unsupported expected type 'object' for column model]
[2025-02-16 13:11:11,047: INFO: extract_mongodb: line 56: Unsupported expected type 'object' for column vehicle_class]
[2025-02-16 13:11:11,047: INFO: extract_mongodb: line 56: Unsupported expected type 'float' for column engine_size_l]
[2025-02-16 13:11:11,048: INFO: extract_mongodb: line 56: Unsupported expected type 'int' for column cylinders]
[2025-02-16 13:11:11,048: INFO: extract_mongodb: line 56: Unsupported expected type 'object' for column transmission]
[2025-02-16 13:11:11,048: INFO: extract_mongodb: line 56: Unsupported expected type 'object' for column fuel_type]
[2025-02-16 13:11:11,048: INFO: extract_mongodb: line 56: Unsupported expected type 'float' for column city_l_per_100km]
[2025-02-16 13:11:11,049: INFO: extract_mongodb: line 56: Unsupported expected type 'float' for column highway_l_per_100km]
[2025-02-16 13:11:11,050: INFO: extract_mongodb: line 56: Unsupported expected type 'float' for column combined_l_per_100km]
[2025-02-16 13:11:11,050: INFO: extract_mongodb: line 56: Unsupported expected type 'int' for column combined_mpg]
[2025-02-16 13:11:11,050: INFO: extract_mongodb: line 56: Unsupported expected type 'int' for column co2_emissions_g_per_km]
[2025-02-16 13:11:11,051: INFO: extract_mongodb: line 56: Unsupported expected type 'float' for column co2_rating]
[2025-02-16 13:11:11,051: INFO: extract_mongodb: line 56: Unsupported expected type 'float' for column smog_rating]
[2025-02-16 13:11:57,328: INFO: extract_mongodb: line 17: Connecting MongoDB server]
[2025-02-16 13:11:57,595: INFO: extract_mongodb: line 22: MongoDB server connected]
[2025-02-16 13:11:57,595: INFO: extract_mongodb: line 23: Loading data from mongodb collection: fuel_consumption_data_1995_2014]
[2025-02-16 13:11:59,391: INFO: extract_mongodb: line 27: Loaded 17853 records from db and converted into pandas DataFrame]
[2025-02-16 13:11:59,398: INFO: extract_mongodb: line 29: Drop unnecessary column '_id']
[2025-02-16 13:11:59,414: INFO: extract_mongodb: line 46: validating dataframe]
[2025-02-16 13:11:59,418: INFO: extract_mongodb: line 54: Errors found]
[2025-02-16 13:11:59,418: INFO: extract_mongodb: line 56: Unsupported expected type 'int' for column model_year]
[2025-02-16 13:11:59,418: INFO: extract_mongodb: line 56: Unsupported expected type 'object' for column make]
[2025-02-16 13:11:59,418: INFO: extract_mongodb: line 56: Unsupported expected type 'object' for column model]
[2025-02-16 13:11:59,418: INFO: extract_mongodb: line 56: Unsupported expected type 'object' for column vehicle_class]
[2025-02-16 13:11:59,418: INFO: extract_mongodb: line 56: Unsupported expected type 'float' for column engine_size_l]
[2025-02-16 13:11:59,420: INFO: extract_mongodb: line 56: Unsupported expected type 'int' for column cylinders]
[2025-02-16 13:11:59,420: INFO: extract_mongodb: line 56: Unsupported expected type 'object' for column transmission]
[2025-02-16 13:11:59,420: INFO: extract_mongodb: line 56: Unsupported expected type 'object' for column fuel_type]
[2025-02-16 13:11:59,421: INFO: extract_mongodb: line 56: Unsupported expected type 'float' for column city_l_per_100km]
[2025-02-16 13:11:59,422: INFO: extract_mongodb: line 56: Unsupported expected type 'float' for column highway_l_per_100km]
[2025-02-16 13:11:59,422: INFO: extract_mongodb: line 56: Unsupported expected type 'float' for column combined_l_per_100km]
[2025-02-16 13:11:59,422: INFO: extract_mongodb: line 56: Unsupported expected type 'int' for column combined_mpg]
[2025-02-16 13:11:59,422: INFO: extract_mongodb: line 56: Unsupported expected type 'int' for column co2_emissions_g_per_km]
[2025-02-16 13:11:59,423: INFO: extract_mongodb: line 56: Unsupported expected type 'float' for column co2_rating]
[2025-02-16 13:11:59,423: INFO: extract_mongodb: line 56: Unsupported expected type 'float' for column smog_rating]
[2025-02-16 13:17:17,966: INFO: extract_mongodb: line 17: Connecting MongoDB server]
[2025-02-16 13:17:18,346: INFO: extract_mongodb: line 22: MongoDB server connected]
[2025-02-16 13:17:18,346: INFO: extract_mongodb: line 23: Loading data from mongodb collection: fuel_consumption_data_1995_2014]
[2025-02-16 13:17:24,126: INFO: extract_mongodb: line 27: Loaded 17853 records from db and converted into pandas DataFrame]
[2025-02-16 13:17:24,130: INFO: extract_mongodb: line 29: Drop unnecessary column '_id']
[2025-02-16 13:17:24,148: INFO: extract_mongodb: line 46: validating dataframe]
[2025-02-16 13:17:24,159: INFO: extract_mongodb: line 58: Validation is successful]
[2025-02-16 13:29:15,641: INFO: extract_mongodb: line 17: Connecting MongoDB server]
[2025-02-16 13:29:15,909: INFO: extract_mongodb: line 22: MongoDB server connected]
[2025-02-16 13:29:15,909: INFO: extract_mongodb: line 23: Loading data from mongodb collection: fuel_consumption_data_1995_2014]
[2025-02-16 13:29:17,637: INFO: extract_mongodb: line 27: Loaded 17853 records from db and converted into pandas DataFrame]
[2025-02-16 13:29:17,637: INFO: extract_mongodb: line 29: Drop unnecessary column '_id']
[2025-02-16 13:29:17,667: INFO: extract_mongodb: line 46: validating dataframe]
[2025-02-16 13:29:17,667: INFO: extract_mongodb: line 58: Validation is successful]
[2025-02-16 13:30:12,587: INFO: extract_mongodb: line 17: Connecting MongoDB server]
[2025-02-16 13:30:12,935: INFO: extract_mongodb: line 22: MongoDB server connected]
[2025-02-16 13:30:12,935: INFO: extract_mongodb: line 23: Loading data from mongodb collection: fuel_consumption_data_1995_2014]
[2025-02-16 13:30:14,962: INFO: extract_mongodb: line 27: Loaded 17853 records from db and converted into pandas DataFrame]
[2025-02-16 13:30:14,971: INFO: extract_mongodb: line 29: Drop unnecessary column '_id']
[2025-02-16 13:30:14,990: INFO: extract_mongodb: line 46: validating dataframe]
[2025-02-16 13:30:14,995: INFO: extract_mongodb: line 58: Validation is successful]
[2025-02-16 13:30:26,623: INFO: extract_mongodb: line 17: Connecting MongoDB server]
[2025-02-16 13:30:26,851: INFO: extract_mongodb: line 22: MongoDB server connected]
[2025-02-16 13:30:26,851: INFO: extract_mongodb: line 23: Loading data from mongodb collection: fuel_consumption_data_1995_2014]
[2025-02-16 13:30:31,061: INFO: extract_mongodb: line 27: Loaded 17853 records from db and converted into pandas DataFrame]
[2025-02-16 13:30:31,069: INFO: extract_mongodb: line 29: Drop unnecessary column '_id']
[2025-02-16 13:30:31,090: INFO: extract_mongodb: line 46: validating dataframe]
[2025-02-16 13:30:31,092: INFO: extract_mongodb: line 58: Validation is successful]
[2025-02-16 15:09:29,659: INFO: extract_postgresql: line 17: Creating connection to RDS Postgresql Database]
[2025-02-16 15:09:29,659: INFO: extract_postgresql: line 41: Connection invalid]
[2025-02-16 15:10:40,795: INFO: extract_postgresql: line 17: Creating connection to RDS Postgresql Database]
[2025-02-16 15:10:41,931: INFO: extract_postgresql: line 26: Connection established]
[2025-02-16 15:10:41,932: INFO: extract_postgresql: line 33: Getting all data from the table fuel_consumption_2015_25 of databse etldb]
[2025-02-16 15:10:43,338: INFO: extract_postgresql: line 35: Loaded 10639 records from the database]
[2025-02-16 15:12:59,713: INFO: extract_postgresql: line 17: Creating connection to RDS Postgresql Database]
[2025-02-16 15:13:00,876: INFO: extract_postgresql: line 26: Connection established]
[2025-02-16 15:13:00,878: INFO: extract_postgresql: line 33: Getting all data from the table fuel_consumption_2015_25 of databse etldb]
[2025-02-16 15:13:02,142: INFO: extract_postgresql: line 35: Loaded 10639 records from the database]
[2025-02-16 15:13:20,558: INFO: extract_postgresql: line 17: Creating connection to RDS Postgresql Database]
[2025-02-16 15:13:21,734: INFO: extract_postgresql: line 26: Connection established]
[2025-02-16 15:13:21,737: INFO: extract_postgresql: line 33: Getting all data from the table fuel_consumption_2015_25 of databse etldb]
[2025-02-16 15:13:23,112: INFO: extract_postgresql: line 35: Loaded 10639 records from the database]
[2025-02-16 15:40:16,383: INFO: extract_postgresql: line 19: Creating connection to RDS Postgresql Database]
[2025-02-16 15:40:18,272: INFO: extract_postgresql: line 28: Connection established]
[2025-02-16 15:40:18,275: INFO: extract_postgresql: line 35: Getting all data from the table fuel_consumption_2015_25 of databse etldb]
